date,year,month,day,adj_close
1/3/12,2012,1,3,54.4051
1/4/12,2012,1,4,54.697481
1/5/12,2012,1,5,55.304729
1/6/12,2012,1,6,55.882874
1/9/12,2012,1,9,55.794234
1/10/12,2012,1,10,55.994003
1/11/12,2012,1,11,55.902717
1/12/12,2012,1,12,55.749251
1/13/12,2012,1,13,55.540222
1/17/12,2012,1,17,56.18716
1/18/12,2012,1,18,56.770597
1/19/12,2012,1,19,56.590671
1/20/12,2012,1,20,55.605048
1/23/12,2012,1,23,56.545688
1/24/12,2012,1,24,55.619599
1/25/12,2012,1,25,59.092434
1/26/12,2012,1,26,58.823867
1/27/12,2012,1,27,59.174461
1/30/12,2012,1,30,59.932529
1/31/12,2012,1,31,60.391603
2/1/12,2012,2,1,60.353237
2/2/12,2012,2,2,60.21168
2/3/12,2012,2,3,60.814961
2/6/12,2012,2,6,61.382518
2/7/12,2012,2,7,62.025493
2/8/12,2012,2,8,63.064037
2/9/12,2012,2,9,65.245637
2/10/12,2012,2,10,65.278711
2/13/12,2012,2,13,66.493214
2/14/12,2012,2,14,67.400777
2/15/12,2012,2,15,65.840976
2/16/12,2012,2,16,66.441614
2/17/12,2012,2,17,66.429709
2/21/12,2012,2,21,68.11387
2/22/12,2012,2,22,67.874406
2/23/12,2012,2,23,68.317604
2/24/12,2012,2,24,69.114041
2/27/12,2012,2,27,69.557246
2/28/12,2012,2,28,70.833925
2/29/12,2012,2,29,71.763985
3/1/12,2012,3,1,72.032545
3/2/12,2012,3,2,72.126481
3/5/12,2012,3,5,70.536256
3/6/12,2012,3,6,70.152585
3/7/12,2012,3,7,70.209476
3/8/12,2012,3,8,71.704444
3/9/12,2012,3,9,72.125159
3/12/12,2012,3,12,73.028752
3/13/12,2012,3,13,75.15876
3/14/12,2012,3,14,78.000533
3/15/12,2012,3,15,77.468692
3/16/12,2012,3,16,77.470013
3/19/12,2012,3,19,79.524611
3/20/12,2012,3,20,80.167578
3/21/12,2012,3,21,79.709826
3/22/12,2012,3,22,79.291767
3/23/12,2012,3,23,78.856504
3/26/12,2012,3,26,80.302522
3/27/12,2012,3,27,81.294766
3/28/12,2012,3,28,81.710182
3/29/12,2012,3,29,80.683544
3/30/12,2012,3,30,79.319549
4/2/12,2012,4,2,81.843805
4/3/12,2012,4,3,83.258071
4/4/12,2012,4,4,82.595256
4/5/12,2012,4,5,83.834891
4/9/12,2012,4,9,84.172255
4/10/12,2012,4,10,83.141653
4/11/12,2012,4,11,82.845304
4/12/12,2012,4,12,82.391515
4/13/12,2012,4,13,80.071
4/16/12,2012,4,16,76.750314
4/17/12,2012,4,17,80.662375
4/18/12,2012,4,18,80.482452
4/19/12,2012,4,19,77.717411
4/20/12,2012,4,20,75.804378
4/23/12,2012,4,23,75.635032
4/24/12,2012,4,24,74.124187
4/25/12,2012,4,25,80.702069
4/26/12,2012,4,26,80.39778
4/27/12,2012,4,27,79.77598
4/30/12,2012,4,30,77.259659
5/1/12,2012,5,1,77.01491
5/2/12,2012,5,2,77.524255
5/3/12,2012,5,3,76.973895
5/4/12,2012,5,4,74.78171
5/7/12,2012,5,7,75.341333
5/8/12,2012,5,8,75.169344
5/9/12,2012,5,9,75.301646
5/10/12,2012,5,10,75.478919
5/11/12,2012,5,11,74.974867
5/14/12,2012,5,14,73.85165
5/15/12,2012,5,15,73.183543
5/16/12,2012,5,16,72.245548
5/17/12,2012,5,17,70.134066
5/18/12,2012,5,18,70.168461
5/21/12,2012,5,21,74.256482
5/22/12,2012,5,22,73.686282
5/23/12,2012,5,23,75.484211
5/24/12,2012,5,24,74.790973
5/25/12,2012,5,25,74.390105
5/29/12,2012,5,29,75.710442
5/30/12,2012,5,30,76.623304
5/31/12,2012,5,31,76.432797
6/1/12,2012,6,1,74.218116
6/4/12,2012,6,4,74.6547
6/5/12,2012,6,5,74.461551
6/6/12,2012,6,6,75.603286
6/7/12,2012,6,7,75.637681
6/8/12,2012,6,8,76.775446
6/11/12,2012,6,11,75.564914
6/12/12,2012,6,12,76.225086
6/13/12,2012,6,13,75.695894
6/14/12,2012,6,14,75.612542
6/15/12,2012,6,15,75.956519
6/18/12,2012,6,18,77.497794
6/19/12,2012,6,19,77.713448
6/20/12,2012,6,20,77.492502
6/21/12,2012,6,21,76.424856
6/22/12,2012,6,22,77.010939
6/25/12,2012,6,25,75.512
6/26/12,2012,6,26,75.678696
6/27/12,2012,6,27,76.005469
6/28/12,2012,6,28,75.284441
6/29/12,2012,6,29,77.262308
7/2/12,2012,7,2,78.389489
7/3/12,2012,7,3,79.301023
7/5/12,2012,7,5,80.694128
7/6/12,2012,7,6,80.156994
7/9/12,2012,7,9,81.216706
7/10/12,2012,7,10,80.465255
7/11/12,2012,7,11,79.965166
7/12/12,2012,7,12,79.233555
7/13/12,2012,7,13,80.036605
7/16/12,2012,7,16,80.293267
7/17/12,2012,7,17,80.29723
7/18/12,2012,7,18,80.207272
7/19/12,2012,7,19,81.273598
7/20/12,2012,7,20,79.947969
7/23/12,2012,7,23,79.885785
7/24/12,2012,7,24,79.500793
7/25/12,2012,7,25,76.067652
7/26/12,2012,7,26,76.055747
7/27/12,2012,7,27,77.415771
7/30/12,2012,7,30,78.72156
7/31/12,2012,7,31,80.802612
8/1/12,2012,8,1,80.280033
8/2/12,2012,8,2,80.409685
8/3/12,2012,8,3,81.45617
8/6/12,2012,8,6,82.362413
8/7/12,2012,8,7,82.145445
8/8/12,2012,8,8,82.00653
8/9/12,2012,8,9,82.474217
8/10/12,2012,8,10,82.603098
8/13/12,2012,8,13,83.705891
8/14/12,2012,8,14,83.930439
8/15/12,2012,8,15,83.816167
8/16/12,2012,8,16,84.548266
8/17/12,2012,8,17,86.112103
8/20/12,2012,8,20,88.37615
8/21/12,2012,8,21,87.168389
8/22/12,2012,8,22,88.870411
8/23/12,2012,8,23,88.041326
8/24/12,2012,8,24,88.119714
8/27/12,2012,8,27,89.775229
8/28/12,2012,8,28,89.658311
8/29/12,2012,8,29,89.481596
8/30/12,2012,8,30,88.206077
8/31/12,2012,8,31,88.388107
9/4/12,2012,9,4,89.680897
9/5/12,2012,9,5,89.051113
9/6/12,2012,9,6,89.853624
9/7/12,2012,9,7,90.407674
9/10/12,2012,9,10,88.055936
9/11/12,2012,9,11,87.770279
9/12/12,2012,9,12,88.992651
9/13/12,2012,9,13,90.745159
9/14/12,2012,9,14,91.847951
9/17/12,2012,9,17,92.977318
9/18/12,2012,9,18,93.260321
9/19/12,2012,9,19,93.285568
9/20/12,2012,9,20,92.833818
9/21/12,2012,9,21,93.018502
9/24/12,2012,9,24,91.782847
9/25/12,2012,9,25,89.490899
9/26/12,2012,9,26,88.380131
9/27/12,2012,9,27,90.524599
9/28/12,2012,9,28,88.635241
10/1/12,2012,10,1,87.610836
10/2/12,2012,10,2,87.865938
10/3/12,2012,10,3,89.213203
10/4/12,2012,10,4,88.595376
10/5/12,2012,10,5,86.707344
10/8/12,2012,10,8,84.791412
10/9/12,2012,10,9,84.483162
10/10/12,2012,10,10,85.155464
10/11/12,2012,10,11,83.453442
10/12/12,2012,10,12,83.66736
10/15/12,2012,10,15,84.338336
10/16/12,2012,10,16,86.335317
10/17/12,2012,10,17,85.64707
10/18/12,2012,10,18,84.056659
10/19/12,2012,10,19,81.027305
10/22/12,2012,10,22,84.241343
