date,year,month,day,adj_close
2005-01-03,2005,01,03,4.186585
2005-01-04,2005,01,04,4.229582
2005-01-05,2005,01,05,4.266626
2005-01-06,2005,01,06,4.269933
2005-01-07,2005,01,07,4.580835
2005-01-10,2005,01,10,4.561651
2005-01-11,2005,01,11,4.270595
2005-01-12,2005,01,12,4.330129
2005-01-13,2005,01,13,4.617217
2005-01-14,2005,01,14,4.643676
2005-01-18,2005,01,18,4.673444
2005-01-19,2005,01,19,4.622508
2005-01-20,2005,01,20,4.660875
2005-01-21,2005,01,21,4.662859
2005-01-24,2005,01,24,4.68072
2005-01-25,2005,01,25,4.766052
2005-01-26,2005,01,26,4.779282
2005-01-27,2005,01,27,4.80508
2005-01-28,2005,01,28,4.89372
2005-01-31,2005,01,31,5.086876
2005-02-01,2005,02,01,5.12855
2005-02-02,2005,02,02,5.267464
2005-02-03,2005,02,03,5.147072
2005-02-04,2005,02,04,5.215206
2005-02-07,2005,02,07,5.22182
2005-02-08,2005,02,08,5.351473
2005-02-09,2005,02,09,5.208591
2005-02-10,2005,02,10,5.183454
2005-02-11,2005,02,11,5.37198
2005-02-14,2005,02,14,5.59821
2005-02-15,2005,02,15,5.848254
2005-02-16,2005,02,16,5.962031
2005-02-17,2005,02,17,5.808564
2005-02-18,2005,02,18,5.742415
2005-02-22,2005,02,22,5.641868
2005-02-23,2005,02,23,5.836347
2005-02-24,2005,02,24,5.882651
2005-02-25,2005,02,25,5.88662
2005-02-28,2005,02,28,5.934909
2005-03-01,2005,03,01,5.887282
2005-03-02,2005,03,02,5.837008
2005-03-03,2005,03,03,5.528753
2005-03-04,2005,03,04,5.663697
2005-03-07,2005,03,07,5.65576
2005-03-08,2005,03,08,5.362057
2005-03-09,2005,03,09,5.205945
2005-03-10,2005,03,10,5.269448
2005-03-11,2005,03,11,5.327659
2005-03-14,2005,03,14,5.334275
2005-03-15,2005,03,15,5.418945
2005-03-16,2005,03,16,5.448051
2005-03-17,2005,03,17,5.58961
