Date	USD
1/3/05	1.3507
1/4/05	1.3365
1/5/05	1.3224
1/6/05	1.3183
1/7/05	1.32
1/10/05	1.3103
1/11/05	1.3143
1/12/05	1.3139
1/13/05	1.3232
1/14/05	1.3091
1/17/05	1.3085
1/18/05	1.306
1/19/05	1.3083
1/20/05	1.2936
1/21/05	1.2963
1/24/05	1.3065
1/25/05	1.3025
1/26/05	1.3005
1/27/05	1.3026
1/28/05	1.3035
1/31/05	1.3035
2/1/05	1.3027
2/2/05	1.3061
2/3/05	1.3001
2/4/05	1.2958
2/7/05	1.2844
2/8/05	1.2764
2/9/05	1.2762
2/10/05	1.2777
2/11/05	1.2855
2/14/05	1.2967
2/15/05	1.3016
2/16/05	1.304
2/17/05	1.3041
2/18/05	1.3039
2/21/05	1.3055
2/22/05	1.3193
2/23/05	1.3203
2/24/05	1.326
2/25/05	1.3165
2/28/05	1.3257
3/1/05	1.3216
3/2/05	1.3101
3/3/05	1.3144
3/4/05	1.3115
3/7/05	1.3197
3/8/05	1.3246
3/9/05	1.3346
3/10/05	1.3409
3/11/05	1.3416
3/14/05	1.3372
3/15/05	1.3383
3/16/05	1.3373
3/17/05	1.3378
3/18/05	1.3279
3/21/05	1.3199
3/22/05	1.3175
3/23/05	1.305
3/24/05	1.2982
3/29/05	1.2926
3/30/05	1.2943
3/31/05	1.2964
4/1/05	1.2959
4/4/05	1.2883
4/5/05	1.281
4/6/05	1.286
4/7/05	1.2923
4/8/05	1.2819
4/11/05	1.2971
4/12/05	1.2985
4/13/05	1.2922
4/14/05	1.282
4/15/05	1.2868
4/18/05	1.2967
4/19/05	1.2996
4/20/05	1.3049
4/21/05	1.3058
4/22/05	1.3077
4/25/05	1.2966
4/26/05	1.2981
4/27/05	1.292
4/28/05	1.2905
4/29/05	1.2957
5/2/05	1.2863
5/3/05	1.2856
5/4/05	1.2953
5/5/05	1.2954
5/6/05	1.2947
5/9/05	1.2824
5/10/05	1.2854
5/11/05	1.2882
5/12/05	1.2771
5/13/05	1.2635
5/16/05	1.2616
5/17/05	1.2636
5/18/05	1.2621
5/19/05	1.2642
5/20/05	1.2607
5/23/05	1.2548
5/24/05	1.2617
5/25/05	1.2564
5/26/05	1.2523
5/27/05	1.2551
5/30/05	1.2472
5/31/05	1.2331
6/1/05	1.2228
6/2/05	1.2263
6/3/05	1.2289
6/6/05	1.2272
6/7/05	1.2285
6/8/05	1.2324
6/9/05	1.2239
6/10/05	1.2229
6/13/05	1.2062
6/14/05	1.211
6/15/05	1.2069
6/16/05	1.2115
6/17/05	1.2177
6/20/05	1.221
6/21/05	1.2092
6/22/05	1.2111
6/23/05	1.2066
6/24/05	1.2082
6/27/05	1.2164
6/28/05	1.2095
6/29/05	1.2054
6/30/05	1.2092
7/1/05	1.2087
7/4/05	1.1894
7/5/05	1.1883
7/6/05	1.1913
7/7/05	1.1957
7/8/05	1.1904
7/11/05	1.2006
7/12/05	1.2166
7/13/05	1.2184
7/14/05	1.2067
7/15/05	1.2073
7/18/05	1.2054
7/19/05	1.1965
7/20/05	1.2063
7/21/05	1.2187
7/22/05	1.2143
7/25/05	1.2065
7/26/05	1.1987
7/27/05	1.199
7/28/05	1.21
7/29/05	1.2093
8/1/05	1.2219
8/2/05	1.2217
8/3/05	1.2308
8/4/05	1.2319
8/5/05	1.2386
8/8/05	1.237
8/9/05	1.2367
8/10/05	1.2377
8/11/05	1.2405
8/12/05	1.2457
8/15/05	1.2374
8/16/05	1.2313
8/17/05	1.2296
8/18/05	1.2213
8/19/05	1.2183
8/22/05	1.2231
8/23/05	1.2233
8/24/05	1.2211
8/25/05	1.2272
8/26/05	1.2307
8/29/05	1.2289
8/30/05	1.2181
8/31/05	1.2198
9/1/05	1.2388
9/2/05	1.2541
9/5/05	1.2538
9/6/05	1.2483
9/7/05	1.2451
9/8/05	1.2418
9/9/05	1.2415
9/12/05	1.2313
9/13/05	1.2276
9/14/05	1.2314
9/15/05	1.2223
9/16/05	1.2243
9/19/05	1.2139
9/20/05	1.2154
9/21/05	1.2225
9/22/05	1.2224
9/23/05	1.2118
9/26/05	1.2031
9/27/05	1.2005
9/28/05	1.2037
9/29/05	1.2063
9/30/05	1.2042
10/3/05	1.1933
10/4/05	1.1938
10/5/05	1.1947
10/6/05	1.2061
10/7/05	1.2144
10/10/05	1.2088
10/11/05	1.2022
10/12/05	1.2008
10/13/05	1.198
10/14/05	1.1999
10/17/05	1.2022
10/18/05	1.1937
10/19/05	1.195
10/20/05	1.1953
10/21/05	1.2012
10/24/05	1.1944
10/25/05	1.2017
10/26/05	1.2059
10/27/05	1.213
10/28/05	1.2138
10/31/05	1.2023
11/1/05	1.2008
11/2/05	1.1992
11/3/05	1.2041
11/4/05	1.1933
11/7/05	1.1824
11/8/05	1.1741
11/9/05	1.1738
11/10/05	1.1762
11/11/05	1.1697
11/14/05	1.1713
